"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.523545833E0,-2.551456392E-1,2.428544462E-1,2.347154357E-2,3.530276088E-1
1.533548833E0,-7.908436656E-2,8.212453127E-2,2.932627685E-2,1.177234309E-1
1.543551833E0,1.268946230E-1,-8.637340367E-2,3.894108534E-2,1.583635638E-1
1.553554833E0,3.356958628E-1,-1.774041653E-1,5.962664634E-2,3.843426688E-1
1.563556833E0,5.032135248E-1,-1.952470839E-1,8.393517882E-2,5.462512147E-1
1.573559833E0,5.971083641E-1,-1.998617053E-1,1.183978096E-1,6.407036296E-1
1.583562833E0,6.055364609E-1,-1.728319526E-1,1.451383382E-1,6.462278441E-1
1.593565833E0,5.135571361E-1,-7.456615567E-2,1.673031896E-1,5.452443497E-1
1.603568833E0,3.480323553E-1,7.134444267E-2,1.836392879E-1,3.999249154E-1
1.613571833E0,1.581750512E-1,1.859280020E-1,1.981665641E-1,3.144178047E-1
1.623573833E0,3.039531410E-3,2.167277336E-1,2.153439522E-1,3.055375051E-1
1.633576833E0,-1.204992384E-1,1.690300703E-1,2.346020341E-1,3.132560383E-1
1.643579833E0,-2.308097631E-1,5.957707390E-2,2.690617442E-1,3.594673791E-1
1.653582833E0,-3.562475741E-1,-4.382425547E-2,3.095331788E-1,4.739659146E-1
1.663585833E0,-4.809863269E-1,-4.096016288E-3,3.461375237E-1,5.926008854E-1
1.673588833E0,-5.781142712E-1,1.203349158E-1,3.679122627E-1,6.957413568E-1
1.683590708E0,-5.832237601E-1,3.449999690E-1,3.755360842E-1,7.747272317E-1
1.693593708E0,-4.797476828E-1,6.303160787E-1,3.720601797E-1,8.751485448E-1
1.703596708E0,-2.693291903E-1,8.468592763E-1,3.682220280E-1,9.619232342E-1
1.713599708E0,3.420306742E-2,9.251172543E-1,3.624848723E-1,9.941866357E-1
1.723602708E0,3.759721220E-1,8.631388545E-1,3.938254714E-1,1.020520564E0
1.733605708E0,6.466820836E-1,6.302528381E-1,4.529570639E-1,1.010240793E0
1.743608708E0,7.715441585E-1,3.289515674E-1,5.177256465E-1,9.856618929E-1
1.753610708E0,7.413735986E-1,9.231864661E-2,5.674080849E-1,9.381415032E-1
1.763613708E0,5.999448299E-1,-4.362427816E-2,6.096106768E-1,8.564239919E-1
1.773616708E0,4.059646428E-1,-7.889883965E-2,6.431400776E-1,7.646315959E-1
1.783619708E0,2.020743489E-1,-3.169111162E-2,6.670177579E-1,6.976754678E-1
1.793622708E0,3.538804129E-2,5.433539301E-2,6.750777960E-1,6.781848413E-1
1.803625708E0,-6.836818159E-2,1.083458960E-1,6.709805727E-1,6.831017277E-1
1.813628708E0,-1.098089889E-1,8.190400153E-2,6.619316936E-1,6.759584650E-1
1.823630708E0,-1.070819125E-1,-8.096463978E-3,6.473809481E-1,6.562272325E-1
